tick,equity,drawdown
50,86066.33000000002,0.13933669999999984
100,75206.64000000003,0.24793359999999973
150,44908.85250000003,0.5509114749999997
200,40168.09500000004,0.5983190499999996
250,15414.987500000036,0.8458501249999997
300,-10521.524999999965,1.1052152499999996
350,-41884.867499999964,1.4188486749999996
400,-82068.25749999995,1.8206825749999995
450,-100153.03749999996,2.0015303749999998
500,-125122.41499999995,2.2512241499999996
550,-126004.67999999995,2.260046799999999
600,-160271.03999999995,2.6027103999999994
650,-219774.53999999998,3.1977453999999996
700,-237129.99500000002,3.37129995
750,-313072.6475000001,4.130726475000001
800,-351459.93750000006,4.514599375
850,-359822.5950000002,4.5982259500000024
900,-378266.2100000002,4.782662100000002
950,-391482.7175000002,4.914827175000002
1000,-401170.7925000003,5.011707925000002
1050,-416545.6000000002,5.1654560000000025
1100,-452242.9750000003,5.522429750000003
1150,-512802.3325000003,6.128023325000003
1200,-560370.4575000005,6.6037045750000045
1250,-606803.02,7.0680302
1300,-607282.6325,7.072826324999999
1350,-655578.2024999999,7.555782024999999
1400,-674267.0249999998,7.742670249999998
1450,-732151.4949999995,8.321514949999996
1500,-741783.5049999995,8.417835049999995
1550,-774913.0324999994,8.749130324999994
1600,-780834.0124999994,8.808340124999994
1650,-822658.467499999,9.22658467499999
1700,-862394.8999999991,9.62394899999999
1750,-878686.8949999991,9.786868949999992
1800,-958254.5474999996,10.582545474999996
1850,-968235.2474999997,10.682352474999997
1900,-977729.0474999999,10.777290475
1950,-1014296.3074999996,11.142963074999997
2000,-1044390.8974999995,11.443908974999996
2050,-1097906.9899999995,11.979069899999995
2100,-1145642.7974999994,12.456427974999993
2150,-1165767.6624999996,12.657676624999997
2200,-1166197.9824999992,12.661979824999992
2250,-1185907.3074999992,12.859073074999992
2300,-1170646.419999999,12.70646419999999
2350,-1200682.294999999,13.00682294999999
2400,-1254113.8874999986,13.541138874999985
2450,-1278488.5124999986,13.784885124999986
2500,-1327195.3624999986,14.271953624999986
2550,-1389955.9999999986,14.899559999999987
2600,-1409492.4749999992,15.094924749999992
2650,-1412088.2874999992,15.120882874999992
2700,-1451664.5149999987,15.516645149999988
2750,-1531650.7549999985,16.316507549999987
2800,-1558767.8949999989,16.58767894999999
2850,-1614169.9899999993,17.141699899999992
2900,-1687269.2949999992,17.872692949999994
2950,-1714356.8724999987,18.143568724999987
3000,-1769207.694999999,18.69207694999999
3050,-1824674.0349999988,19.24674034999999
3100,-1843909.0399999984,19.439090399999984
3150,-1849435.5774999985,19.494355774999985
3200,-1837970.5174999984,19.379705174999984
3250,-1931304.9274999986,20.313049274999987
3300,-1905131.282499999,20.05131282499999
3350,-1938453.1549999984,20.384531549999984
3400,-1981188.0974999983,20.811880974999983
3450,-1997018.9699999979,20.970189699999978
3500,-2007060.954999998,21.070609549999983
3550,-2023775.909999998,21.237759099999984
3600,-2026813.5849999983,21.268135849999982
3650,-2030596.1674999988,21.305961674999985
3700,-2036000.0649999988,21.360000649999986
3750,-2041406.312499999,21.41406312499999
3800,-2090163.114999999,21.901631149999993
3850,-2105145.4574999996,22.051454574999994
3900,-2120105.932499999,22.201059324999992
3950,-2159169.044999999,22.59169044999999
4000,-2158632.509999999,22.58632509999999
4050,-2160714.1224999987,22.607141224999985
4100,-2168667.2924999986,22.686672924999986
4150,-2173828.854999999,22.73828854999999
4200,-2170629.809999998,22.70629809999998
4250,-2193212.142499998,22.93212142499998
4300,-2181680.0149999987,22.816800149999988
4350,-2185207.247499999,22.852072474999993
4400,-2210673.4374999995,23.106734374999995
4450,-2218406.04,23.1840604
4500,-2221555.73,23.2155573
4550,-2221421.605,23.21421605
4600,-2242307.58,23.4230758
4650,-2262231.615,23.622316150000003
4700,-2254287.5624999995,23.542875624999997
4750,-2259772.3049999997,23.597723049999995
4800,-2317593.3274999997,24.175933274999995
4850,-2465309.4024999985,25.653094024999984
4900,-2586371.3849999993,26.863713849999993
4950,-2702857.744999999,28.028577449999993
5000,-2739758.852499998,28.397588524999982
5050,-2815442.094999998,29.154420949999977
