tick,equity,drawdown
50,100000.0,0.0
100,103007.9625,0.0
150,106365.05,0.0
200,95551.0925,0.10166833466444103
250,97662.58,0.0818170066201257
300,89013.3325,0.163133637411913
350,94317.46500000001,0.11326638778433322
400,82223.54250000001,0.2269684214880733
450,79072.98000000001,0.25658870089376157
500,66275.73750000002,0.3769030569721914
550,64179.58250000003,0.3966102352229418
600,45294.10500000003,0.5741636467993948
650,47865.115000000034,0.5499920791651014
700,57218.30500000003,0.46205727351230474
750,24014.955000000027,0.7742213725279119
800,32165.550000000025,0.6975928653255931
850,17468.835000000025,0.8357652725213779
900,32367.845000000027,0.6956909717994771
950,-7131.794999999971,1.0670501729656496
1000,-28460.89749999997,1.2675775313413566
1050,-23134.434999999972,1.2175003443330301
1100,-18142.65249999997,1.170569679608104
1150,-17713.62249999997,1.166536117831938
1200,-29053.68499999997,1.2731506730829345
1250,-22762.29499999997,1.2140016386961692
1300,-19263.07249999997,1.181103402856483
1350,-19022.90749999997,1.1788454713272825
1400,-8443.624999999967,1.079383453493417
1450,-4318.052499999968,1.0405965352340827
1500,-14384.619999999966,1.1352382196971653
1550,-32621.394999999968,1.3066927999375733
1600,-25727.622499999965,1.2418804156064418
1650,-52211.27749999996,1.490868734607843
1700,-51035.68999999996,1.4798163494493723
1750,-61885.65249999996,1.5818231881619005
1800,-60508.51249999996,1.5688758901537674
1850,-87226.34749999996,1.8200658722014418
1900,-107445.45249999996,2.0101574953426895
1950,-103191.39999999995,1.9701626615133443
2000,-93238.46749999994,1.876589326099127
2050,-92441.35499999994,1.8690952056150016
2100,-90202.18499999995,1.8480434597642736
2150,-87052.53499999996,1.8184317593043953
2200,-87052.53499999996,1.8184317593043953
2250,-77683.61249999996,1.7303490432242543
2300,-110030.21749999996,2.0344583817710795
2350,-99297.56499999994,1.9335544429302665
2400,-116853.08249999995,2.0986041232528914
2450,-111134.46749999996,2.0448400813989176
2500,-99874.43999999996,1.9389779819592992
2550,-91106.39999999997,1.8565445134468508
2600,-106500.15999999996,2.0012702480749076
2650,-132548.41749999995,2.2461651407111636
2700,-126895.99499999995,2.193023413235832
2750,-150936.65499999997,2.4190437084361824
2800,-153774.41499999998,2.4457231487222537
2850,-167512.9275,2.57488693419502
2900,-167512.9275,2.57488693419502
2950,-155646.145,2.463320376383032
3000,-153081.0925,2.4392048186880935
3050,-150012.3525,2.410353800425986
3100,-138472.14500000005,2.3018575650554394
3150,-133013.26750000005,2.250535467242295
3200,-153949.255,2.4473669217473217
3250,-144139.03250000003,2.3551352864498254
3300,-175551.53750000003,2.6504626049628146
3350,-167664.86250000002,2.576315363928283
3400,-166270.30000000002,2.5632042668150867
3450,-166270.30000000002,2.5632042668150867
3500,-162943.86750000002,2.531930530752348
3550,-171838.47750000004,2.6155539578085096
3600,-166051.52500000002,2.5611474351772503
3650,-176425.45500000002,2.658678814140547
3700,-176425.45500000002,2.658678814140547
3750,-158837.53750000003,2.493324522481774
3800,-151603.49500000002,2.4253130610101725
3850,-149416.45,2.404751372748849
3900,-138825.60749999998,2.3051806725987527
3950,-153241.94749999998,2.4407171105546417
4000,-156022.44999999998,2.466858239619123
4050,-171630.26249999998,2.613596406902455
4100,-182028.6725,2.711357936653064
4150,-182028.6725,2.711357936653064
4200,-205222.68500000003,2.9294184038836066
4250,-202245.05750000002,2.9014239874846113
4300,-212755.91750000004,3.000242725406513
4350,-216367.76000000004,3.034199767686849
4400,-205428.49250000005,2.9313533204751
4450,-205428.49250000005,2.9313533204751
4500,-205428.49250000005,2.9313533204751
4550,-217328.58500000005,3.0432330450650853
4600,-204931.54000000004,2.9266811795791945
4650,-201473.87500000003,2.894173650085249
4700,-201473.87500000003,2.894173650085249
4750,-191211.81000000003,2.797693979366343
4800,-229534.62000000002,3.1579891139053666
4850,-299462.24750000006,3.8154196091667334
4900,-298459.82,3.8059952023714554
4950,-311781.23250000004,3.9312375869705325
5000,-301139.5175,3.831188604715553
5050,-306700.68,3.8834723435940655
