tick,equity,drawdown
50,98533.95999999998,0.014660400000000228
100,105009.06,0.0
150,107816.44000000005,0.0
200,147263.25000000006,0.0
250,152383.06,0.0
300,181816.52999999997,0.0
350,177700.73999999987,0.022637050657605753
400,163370.97999999986,0.10145144668639373
450,161058.72999999992,0.11416893722479496
500,176790.99999999983,0.027640666115452458
550,221399.8999999998,0.0
600,222453.0799999998,0.0
650,213740.04999999978,0.03916794498866923
700,230771.92999999973,0.0
750,202804.9599999997,0.12118878582850204
800,231223.28999999963,0.0
850,256370.61999999968,0.0
900,259480.26999999964,0.0
950,334879.8499999997,0.0
1000,380328.5399999998,0.0
1050,402181.9299999997,0.0
1100,386705.9299999997,0.03848009780051533
1150,382738.1099999996,0.048345831947248695
1200,399694.82999999955,0.0061840172680064295
1250,399873.4299999995,0.005739939633787565
1300,454076.1499999997,0.0
1350,453317.88999999943,0.001669896117645119
1400,496238.68999999925,0.0
1450,493782.2399999992,0.004950138007175687
1500,519938.6099999991,0.0
1550,518948.0399999991,0.0019051672273386441
1600,551033.7499999988,0.0
1650,566900.4099999986,0.0
1700,565384.4199999986,0.0026741734055193123
1750,578425.0999999986,0.0
1800,684529.9499999987,0.0
1850,712868.569999999,0.0
1900,730848.7399999988,0.0
1950,732859.9199999991,0.0
2000,734417.219999999,0.0
2050,747271.8299999989,0.0
2100,752512.2899999989,0.0
2150,765538.1399999987,0.0
2200,771366.0799999987,0.0
2250,786420.1499999986,0.0
2300,825173.8899999986,0.0
2350,817229.5599999987,0.009627461673563098
2400,825884.8399999989,0.0
2450,835896.7499999987,0.0
2500,853360.0899999985,0.0
2550,867402.6999999986,0.0
2600,919330.2999999985,0.0
2650,974070.1599999984,0.0
2700,965049.0299999985,0.00926127333579329
2750,931768.5799999982,0.0434276520697444
2800,950300.8799999984,0.02440202048690216
2850,975536.4899999985,0.0
2900,969226.6899999983,0.006468030734555273
2950,1015519.4099999983,0.0
3000,1008652.6999999986,0.006761771298886095
3050,1013544.5399999986,0.0019446895653128377
3100,1019247.9199999989,0.0
3150,1055163.1099999987,0.0
3200,1120628.7699999984,0.0
3250,1126476.789999998,0.0
3300,1268674.4199999978,0.0
3350,1263769.8399999975,0.00386590911165397
3400,1296726.0099999977,0.0
3450,1314936.4299999967,0.0
3500,1333959.5699999968,0.0
3550,1358388.9499999965,0.0
3600,1384806.0699999966,0.0
3650,1395135.8799999962,0.0
3700,1393505.4499999967,0.0011686531924040787
3750,1416043.3199999968,0.0
3800,1383537.3399999966,0.022955498282355012
3850,1375951.8099999973,0.02831234711096242
3900,1393311.3599999964,0.01605315295015161
3950,1376201.7499999972,0.028135841211411307
4000,1399419.8299999968,0.011739393679001309
4050,1409964.2699999968,0.004292983070602713
4100,1432465.8599999966,0.0
4150,1453118.2199999979,0.0
4200,1479687.0299999975,0.0
4250,1462633.209999997,0.011525288560514421
4300,1494386.0299999972,0.0
4350,1516423.1299999976,0.0
4400,1519941.7899999977,0.0
4450,1534425.6699999976,0.0
4500,1532027.409999998,0.001562969159659293
4550,1550253.169999998,0.0
4600,1550800.6399999987,0.0
4650,1585085.1399999987,0.0
4700,1598833.7599999986,0.0
4750,1609444.3399999985,0.0
4800,1590214.4799999986,0.011948136087762991
4850,1562234.709999999,0.02933287522077307
4900,1638175.6599999995,0.0
4950,1754564.8699999994,0.0
5000,1841420.8799999985,0.0
5050,1831672.6999999986,0.005293835920878633
