tick,equity,drawdown
50,47222.75000000003,0.5277724999999998
100,-13400.119999999966,1.1340011999999997
150,-38962.42999999998,1.3896243
200,-113823.29999999997,2.138233
250,-180234.13999999998,2.8023414
300,-261648.79999999996,3.6164879999999995
350,-307056.94999999995,4.0705694999999995
400,-327872.19999999995,4.278721999999999
450,-351494.68999999994,4.514946899999999
500,-418692.46999999986,5.186924699999999
550,-520287.8999999998,6.202878999999998
600,-590053.51,6.9005351
650,-603041.7699999999,7.030417699999999
700,-668190.2599999999,7.681902599999999
750,-681769.27,7.8176927
800,-739837.4400000001,8.3983744
850,-851809.0700000005,9.518090700000005
900,-882744.6900000006,9.827446900000007
950,-998639.8400000002,10.986398400000002
1000,-1108997.5000000002,12.089975000000003
1050,-1196458.190000001,12.964581900000011
1100,-1253348.040000001,13.533480400000009
1150,-1307968.8500000013,14.079688500000012
1200,-1344925.2800000012,14.449252800000012
1250,-1394237.590000002,14.94237590000002
1300,-1482109.3600000015,15.821093600000015
1350,-1522241.4600000004,16.222414600000004
1400,-1607047.0100000014,17.070470100000016
1450,-1628327.870000001,17.28327870000001
1500,-1731661.770000001,18.31661770000001
1550,-1818414.2400000007,19.184142400000006
1600,-1898771.62,19.9877162
1650,-1963047.9300000002,20.6304793
1700,-2003263.96,21.0326396
1750,-2093487.9299999997,21.9348793
1800,-2172341.1799999983,22.723411799999983
1850,-2298440.1300000004,23.984401300000002
1900,-2415347.700000001,25.15347700000001
1950,-2462935.9200000023,25.62935920000002
2000,-2526511.0400000033,26.265110400000033
2050,-2565345.7600000035,26.653457600000035
2100,-2605576.300000005,27.05576300000005
2150,-2681897.6200000043,27.818976200000044
2200,-2800765.2400000053,29.007652400000055
2250,-2890278.530000006,29.90278530000006
2300,-3007441.440000008,31.07441440000008
2350,-3099897.0500000077,31.998970500000077
2400,-3123159.0300000077,32.23159030000008
2450,-3214819.9400000074,33.148199400000074
2500,-3288895.7000000076,33.888957000000076
2550,-3346335.960000007,34.46335960000007
2600,-3405044.770000007,35.05044770000007
2650,-3510407.850000006,36.104078500000064
2700,-3610122.460000007,37.10122460000007
2750,-3615195.400000007,37.15195400000007
2800,-3661722.3000000077,37.617223000000074
2850,-3676804.470000008,37.76804470000008
2900,-3724173.5800000085,38.241735800000086
2950,-3819296.1800000085,39.192961800000084
3000,-3883998.820000008,39.83998820000008
3050,-3916121.8100000103,40.161218100000106
3100,-3960084.2700000107,40.60084270000011
3150,-4013051.330000011,41.13051330000011
3200,-4142120.570000012,42.421205700000115
3250,-4210352.880000013,43.10352880000013
3300,-4327984.310000016,44.279843100000164
3350,-4412049.120000014,45.12049120000014
3400,-4466909.000000016,45.66909000000016
3450,-4540134.650000016,46.40134650000016
3500,-4647359.760000019,47.47359760000019
3550,-4750934.910000017,48.50934910000017
3600,-4800814.9700000165,49.00814970000017
3650,-4915245.9400000125,50.152459400000126
3700,-4970476.230000014,50.70476230000014
3750,-5057608.470000013,51.57608470000013
3800,-5086694.120000014,51.86694120000014
3850,-5106945.680000015,52.06945680000015
3900,-5208373.480000015,53.08373480000015
3950,-5219034.740000016,53.190347400000164
4000,-5345848.120000019,54.458481200000186
4050,-5456683.170000018,55.56683170000018
4100,-5511421.400000016,56.11421400000016
4150,-5642380.4400000125,57.42380440000012
4200,-5761004.260000016,58.610042600000156
4250,-5824891.810000016,59.24891810000016
4300,-5957609.850000013,60.57609850000013
4350,-6069189.360000011,61.69189360000011
4400,-6135157.600000009,62.35157600000009
4450,-6185561.540000009,62.85561540000009
4500,-6247130.6600000085,63.471306600000084
4550,-6366954.030000011,64.66954030000011
4600,-6437883.590000011,65.37883590000011
4650,-6513692.10000001,66.1369210000001
4700,-6645721.810000013,67.45721810000012
4750,-6748538.160000015,68.48538160000015
4800,-6775510.010000014,68.75510010000013
4850,-6775510.010000014,68.75510010000013
4900,-6819797.830000016,69.19797830000016
4950,-6880579.020000018,69.80579020000019
5000,-7018463.850000014,71.18463850000013
5050,-7047586.970000015,71.47586970000015
