tick,equity,drawdown
50,100000,0.0
100,100000,0.0
150,100000,0.0
200,100000,0.0
250,100000,0.0
300,100000,0.0
350,100000,0.0
400,100000,0.0
450,100000,0.0
500,100000,0.0
550,100000,0.0
600,100000,0.0
650,100000,0.0
700,100000,0.0
750,100000,0.0
800,100000,0.0
850,100000,0.0
900,100000,0.0
950,100000,0.0
1000,100000,0.0
1050,100000,0.0
1100,100000,0.0
1150,100000,0.0
1200,100000,0.0
1250,100000,0.0
1300,100000,0.0
1350,100000,0.0
1400,100000,0.0
1450,100000,0.0
1500,100000,0.0
1550,100000,0.0
1600,100000,0.0
1650,100000,0.0
1700,100000,0.0
1750,100000,0.0
1800,100000,0.0
1850,100000,0.0
1900,100000,0.0
1950,100000,0.0
2000,100000,0.0
2050,100000,0.0
2100,100000,0.0
2150,100000,0.0
2200,100000,0.0
2250,100000,0.0
2300,100000,0.0
2350,100000,0.0
2400,100000,0.0
2450,100000,0.0
2500,100000,0.0
2550,100000,0.0
2600,100000,0.0
2650,100000,0.0
2700,100000,0.0
2750,100000,0.0
2800,100000,0.0
2850,100000,0.0
2900,100000,0.0
2950,100000,0.0
3000,100000,0.0
3050,100000,0.0
3100,100000,0.0
3150,100000,0.0
3200,100000,0.0
3250,100000,0.0
3300,100000,0.0
3350,100000,0.0
3400,100000,0.0
3450,100000,0.0
3500,100000,0.0
3550,100000,0.0
3600,100000,0.0
3650,100000,0.0
3700,100000,0.0
3750,100000,0.0
3800,100000,0.0
3850,100000,0.0
3900,100000,0.0
3950,100000,0.0
4000,100000,0.0
4050,100000,0.0
4100,100000,0.0
4150,100000,0.0
4200,100000,0.0
4250,100000,0.0
4300,100000,0.0
4350,100000,0.0
4400,100000,0.0
4450,100000,0.0
4500,100000,0.0
4550,100000,0.0
4600,100000,0.0
4650,100000,0.0
4700,100000,0.0
4750,100000,0.0
4800,100000,0.0
4850,100000,0.0
4900,100000,0.0
4950,100000,0.0
5000,100000,0.0
5050,100000,0.0
