tick,equity,drawdown
50,111447.87999999998,0.0
100,120683.37999999999,0.0
150,123490.76000000004,0.0
200,112000.22,0.0930477713474274
250,119635.18999999997,0.031221526209734753
300,133834.56000000006,0.0
350,146256.44,0.0
400,131926.68000000005,0.09797695062179793
450,129614.43000000002,0.11378651087090579
500,142457.54999999996,0.025974172487721176
550,160942.10000000003,0.0
600,157757.34000000003,0.01978823440230995
650,149044.31,0.07392590254507699
700,173012.21999999997,0.0
750,145045.24999999994,0.16164736802984225
800,171657.01999999984,0.00783297272296794
850,175079.48999999985,0.0
900,187165.10999999984,0.0
950,163802.47999999975,0.1248236383372954
1000,190325.88999999987,0.0
1050,221190.39999999985,0.0
1100,220658.3799999999,0.0024052580943836658
1150,273021.97999999975,0.0
1200,287924.3599999997,0.0
1250,274903.92999999964,0.04522170336681504
1300,291974.1199999997,0.0
1350,301457.14999999956,0.0
1400,314226.0099999994,0.0
1450,311769.55999999936,0.00781746234183502
1500,333760.9699999994,0.0
1550,308836.75999999954,0.07467682635270353
1600,323482.7499999994,0.030795152590789722
1650,312618.80999999936,0.0633452137917746
1700,311102.8199999995,0.06788735663130398
1750,313213.02999999945,0.06156483785386884
1800,361959.3099999994,0.0
1850,356491.4699999995,0.015106228376885562
1900,368847.68999999925,0.0
1950,396151.80999999924,0.0
2000,402273.52999999945,0.0
2050,418116.0699999995,0.0
2100,425441.94999999966,0.0
2150,448562.6499999996,0.0
2200,442407.2999999995,0.013722386382370664
2250,447485.2799999995,0.0024018272586897563
2300,430856.7399999995,0.039472546365597105
2350,415679.16999999963,0.07330855567221214
2400,424334.44999999943,0.054012967865247376
2450,462456.1899999993,0.0
2500,490939.4399999994,0.0
2550,522283.38999999966,0.0
2600,556149.5199999998,0.0
2650,553095.3099999996,0.0054917066187528075
2700,571953.0899999997,0.0
2750,538672.6399999994,0.058187376870365924
2800,571875.8999999997,0.00013495862047018675
2850,597111.5099999998,0.0
2900,614476.1099999996,0.0
2950,659450.4699999994,0.0
3000,644971.7599999994,0.021955720192298862
3050,649863.5999999995,0.014537664974292744
3100,655566.9799999997,0.005888979046447029
3150,671044.4699999995,0.0
3200,663141.5599999995,0.011777028726576107
3250,693478.6199999994,0.0
3300,723258.7699999994,0.0
3350,749928.5199999994,0.0
3400,785556.6799999992,0.0
3450,811181.349999999,0.0
3500,838826.7299999985,0.0
3550,856760.3999999984,0.0
3600,898209.3599999982,0.0
3650,908953.1799999981,0.0
3700,907781.859999998,0.0012886472326331128
3750,932488.6399999978,0.0
3800,910407.6999999977,0.023679580697090436
3850,902822.1699999975,0.03181429641866778
3900,932407.0399999974,8.750776845972362e-05
3950,915297.4299999974,0.018435838532038812
4000,919488.5799999975,0.013941252946524173
4050,910008.6699999974,0.024107500119251307
4100,899146.4199999975,0.03575616749604628
4150,937347.1499999973,0.0
4200,926840.5499999977,0.011208867493755817
4250,918805.4199999975,0.01978107043905763
4300,934676.4199999974,0.0028492432072791695
4350,950470.6299999971,0.0
4400,951532.1699999972,0.0
4450,964894.9599999976,0.0
4500,965916.9699999975,0.0
4550,957442.9299999976,0.008773052201370831
4600,974202.519999997,0.0
4650,1015113.2299999967,0.0
4700,1033162.6599999969,0.0
4750,1045438.1699999969,0.0
4800,1019866.4299999967,0.024460308350899698
4850,985207.5699999965,0.05761278067740785
4900,1012883.7899999963,0.031139459926167307
4950,1028956.5899999964,0.015765236503657208
5000,1078000.3799999964,0.0
5050,1093338.9899999965,0.0
