tick,equity,drawdown
50,106475.55,0.0
100,104062.51000000001,0.022662855463061647
150,101249.90000000001,0.04907840344567362
200,134943.44,0.0
250,133369.87,0.011660959584252535
300,134551.90000000002,0.002901511922328192
350,127505.45000000001,0.05511931517382387
400,140858.18,0.0
450,149230.72000000003,0.0
500,159150.87000000002,0.0
550,169107.46,0.0
600,187481.24999999988,0.0
650,184274.15999999986,0.017106190619062052
700,170382.96999999986,0.091199946661333
750,215765.48999999993,0.0
800,207056.14999999994,0.04036484240366705
850,207887.25999999995,0.036512928921117016
900,212750.45999999993,0.01397364332915333
950,289243.76999999996,0.0
1000,308440.4499999999,0.0
1050,307156.00999999983,0.004164304649406591
1100,302023.22999999986,0.020805377504798845
1150,303418.5999999997,0.01628142482608948
1200,312158.9299999998,0.0
1250,328971.46999999974,0.0
1300,343686.8699999997,0.0
1350,347598.15999999986,0.0
1400,366085.57999999984,0.0
1450,361391.1099999999,0.012823422326549754
1500,368156.37999999995,0.0
1550,397334.18999999977,0.0
1600,404948.2899999997,0.0
1650,433480.5599999997,0.0
1700,460147.02999999974,0.0
1750,470631.0199999996,0.0
1800,485106.5899999997,0.0
1850,514431.97999999963,0.0
1900,520987.7599999996,0.0
1950,514888.7399999997,0.011706647388414475
2000,524630.7899999998,0.0
2050,507581.5199999997,0.03249765420744765
2100,509514.6799999999,0.028812853321094505
2150,500631.9099999999,0.04574432240242685
2200,506045.2799999999,0.03542588493519395
2250,511333.82999999996,0.025345367167641554
2300,540607.4700000001,0.0
2350,548829.1400000001,0.0
2400,576402.9,0.0
2450,557253.7700000003,0.03322177941852786
2500,545242.0900000002,0.054060814059054565
2550,539595.8000000002,0.06385654895213029
2600,547371.8,0.05036598532033752
2650,577829.4600000001,0.0
2700,569894.4800000001,0.013732390868406018
2750,623361.2600000002,0.0
2800,627073.8299999998,0.0
2850,651933.1599999998,0.0
2900,639672.8199999998,0.018806130370788272
2950,636210.6699999997,0.024116720800028198
3000,657410.45,0.0
3050,647890.1499999998,0.01448151607568782
3100,654150.4400000001,0.004958865500236409
3150,658512.42,0.0
3200,712442.9900000001,0.0
3250,691228.2700000004,0.029777428226221633
3300,757903.6900000009,0.0
3350,752992.3400000008,0.00648017692063234
3400,746541.0700000008,0.014992168727929137
3450,735337.8300000007,0.02977404688450612
3500,730729.4300000006,0.035854502832675494
3550,751906.5800000007,0.007912759997250062
3600,735812.8700000008,0.02914726539990858
3650,741975.8600000005,0.021015638543731598
3700,733249.8700000006,0.032528961562385675
3750,722289.8000000007,0.0469899942036172
3800,730197.2900000004,0.036556623705052096
3850,735563.9700000002,0.029475671242609525
3900,731539.4600000002,0.03478572587501276
3950,768453.6300000001,0.0
4000,774445.79,0.0
4050,787957.6499999999,0.0
4100,819134.9600000002,0.0
4150,814998.8000000003,0.005049424334177991
4200,844270.7300000002,0.0
4250,851332.2600000002,0.0
4300,860861.3000000006,0.0
4350,863502.4300000005,0.0
4400,863614.6600000004,0.0
4450,854769.5400000003,0.01024197528096629
4500,848038.0500000004,0.01803652800428374
4550,854865.9600000007,0.010130328264691242
4600,847644.1000000008,0.018492692099506026
4650,840951.3900000008,0.02624234053646049
4700,832922.3100000008,0.035539403650234024
4750,826775.2900000009,0.04265718462907926
4800,855705.5700000006,0.009158123832682195
4850,957421.6700000009,0.0
4900,971377.7000000009,0.0
4950,981332.0200000008,0.0
5000,1016527.460000001,0.0
5050,1030228.070000001,0.0
