tick,equity,drawdown
50,100000.0,0.0
100,112252.3175,0.0
150,100149.99500000001,0.1078135647399885
200,131704.9775,0.0
250,143653.15000000002,0.0
300,176535.58000000007,0.0
350,193266.73250000007,0.0
400,194799.20750000008,0.0
450,209601.75250000006,0.0
500,219660.02000000002,0.0
550,232822.8275,0.0
600,245983.48249999998,0.0
650,251557.65999999997,0.0
700,271987.04000000004,0.0
750,223003.05500000002,0.180096761228035
800,235169.9675,0.13536333385590738
850,258149.93000000002,0.050874151944886835
900,269632.4375,0.00865703932069718
950,298391.06499999994,0.0
1000,328051.5549999999,0.0
1050,335698.7874999999,0.0
1100,360341.3749999999,0.0
1150,365978.71249999985,0.0
1200,361465.03999999986,0.012333155852609837
1250,386745.0299999999,0.0
1300,416287.0874999999,0.0
1350,399706.4749999999,0.03982975450805928
1400,400880.8999999999,0.03700856443211202
1450,423623.0974999999,0.0
1500,459404.82249999995,0.0
1550,449219.8549999999,0.022169918558049156
1600,461616.35749999987,0.0
1650,461616.35749999987,0.0
1700,453868.7499999998,0.016783650263086796
1750,472588.4124999998,0.0
1800,522120.4749999998,0.0
1850,549856.095,0.0
1900,574991.1625,0.0
1950,588898.0675000001,0.0
2000,605454.6875000001,0.0
2050,613510.1625000002,0.0
2100,648264.0575000001,0.0
2150,679955.4675,0.0
2200,692808.66,0.0
2250,677297.7325,0.02238847230922314
2300,716854.7,0.0
2350,731130.0474999999,0.0
2400,736390.5674999999,0.0
2450,739024.6974999998,0.0
2500,741223.8849999999,0.0
2550,725995.5549999998,0.020544845232557604
2600,725209.0974999998,0.021605870809195654
2650,774734.2524999997,0.0
2700,763809.0574999998,0.014101861334703222
2750,742260.3474999998,0.041916185963392555
2800,770646.2949999999,0.005276593214780816
2850,776962.995,0.0
2900,786673.805,0.0
2950,807823.8374999999,0.0
3000,815106.7749999998,0.0
3050,797409.7674999998,0.02171127518845608
3100,801825.8099999998,0.016293527924608368
3150,798067.5949999999,0.02090423061444918
3200,824092.0525,0.0
3250,829498.98,0.0
3300,876307.5200000001,0.0
3350,888259.7850000003,0.0
3400,907174.4650000002,0.0
3450,942732.8550000002,0.0
3500,957307.7400000001,0.0
3550,952238.6875000001,0.005295112833831251
3600,968713.6825000001,0.0
3650,985635.6800000002,0.0
3700,999137.4800000002,0.0
3750,1011088.9700000002,0.0
3800,995018.2625000002,0.01589445437229922
3850,999962.9824999999,0.011003964863745153
3900,1034130.2699999999,0.0
3950,1031136.4324999999,0.0028950293660778576
4000,1045411.5249999999,0.0
4050,1066457.8324999998,0.0
4100,1073821.3749999998,0.0
4150,1099247.3799999997,0.0
4200,1114097.3799999997,0.0
4250,1108648.4099999995,0.004890927936658649
4300,1123916.0774999994,0.0
4350,1172296.9449999994,0.0
4400,1193793.7824999995,0.0
4450,1224139.8674999995,0.0
4500,1224139.8674999995,0.0
4550,1254243.8124999995,0.0
4600,1260727.7724999995,0.0
4650,1309328.2424999995,0.0
4700,1343158.3649999993,0.0
4750,1352118.4099999992,0.0
4800,1359769.3024999993,0.0
4850,1300114.4349999991,0.04387131507552194
4900,1263804.0024999992,0.0705746922096001
4950,1204013.7324999992,0.11454558483827822
5000,1212424.2724999993,0.10836031503954334
5050,1163674.8074999992,0.1442115913629402
